FIPS,HAVI,HAVI_level,factor_variable,factor_label,domain,factor_weight,havi_component_value,weighted_contribution,signed_pct_contribution,abs_pct_contribution,direction
16069,44.802479234004174,Moderate Vulnerability,ACS_PCT_UNINSURED_havi,Uninsured,SDOH,0.044444444444444446,-0.0898222183019541,-0.00399209859119796,-0.8823811981690197,0.8823811981690197,Lowers HAVI
16069,44.802479234004174,Moderate Vulnerability,transport_vulnerability_havi,Transportation Vulnerability,SDOH,0.044444444444444446,0.3564341481878161,0.01584151769723627,3.501480999823814,3.501480999823814,Increases HAVI
16069,44.802479234004174,Moderate Vulnerability,POS_MEDIAN_DIST_CLINIC_havi,Distance to Clinic,SDOH,0.044444444444444446,-0.2567366001755438,-0.011410515563357503,-2.5220881109302162,2.5220881109302162,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,primary_care_providers_per_10k_havi,Primary Care Providers,Supply,0.0375,-0.73874707956772,-0.0277030154837895,-4.056086899037278,4.056086899037278,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,dentists_per_10k_havi,Dentists,Supply,0.0375,-0.4355441592809912,-0.01633290597303717,-2.391352882837206,2.391352882837206,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,mental_health_providers_per_10k_havi,Mental Health Providers,Supply,0.0375,0.5661952409447674,0.021232321535428776,3.108691949668554,3.108691949668554,Increases HAVI
16071,40.19372606768119,Low Vulnerability,beds_per_1000_havi,Hospital Beds,Supply,0.0375,0.1136479268938721,0.004261797258520204,0.6239833362816357,0.6239833362816357,Increases HAVI
16071,40.19372606768119,Low Vulnerability,hospitals_per_100k_havi,Hospitals,Supply,0.0375,-1.7810903841279444,-0.06679088940479791,-9.779067251663347,9.779067251663347,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,clinics_per_100k_havi,Rural Health Clinics,Supply,0.0375,-0.6407612870005105,-0.024028548262519142,-3.518096427716287,3.518096427716287,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,critical_access_per_100k_havi,Critical Access Hospitals,Supply,0.0375,-1.9298713024012693,-0.0723701738400476,-10.595948089673957,10.595948089673957,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,POS_FQHC_RATE_havi,FQHC Access,Supply,0.0375,0.61440883054581,0.023040331145467875,3.3734084061461624,3.3734084061461624,Increases HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_AGE_ABOVE65_havi,Older Adults,Demand,0.075,-0.1159855146519594,-0.008698913598896955,-1.2736356987920476,1.2736356987920476,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,disease_burden_composite_havi,Disease Burden,Demand,0.075,-1.1159363101389577,-0.08369522326042182,-12.254084714252203,12.254084714252203,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_AGE_0_4_havi,Children Under 5,Demand,0.075,0.765885384273631,0.05744140382052232,8.410179232476105,8.410179232476105,Increases HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_DISABLE_havi,Disability,Demand,0.075,-0.4423897850130143,-0.03317923387597607,-4.857877508792825,4.857877508792825,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,pers_povty_pct_23_havi,Poverty,SDOH,0.044444444444444446,-0.8291472994354437,-0.036850991086019726,-5.395471198722298,5.395471198722298,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_UNEMPLOY_havi,Unemployment,SDOH,0.044444444444444446,-1.4351191449722849,-0.06378307310987932,-9.338683269794334,9.338683269794334,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_RENTER_HU_COST_30PCT_havi,Housing Burden,SDOH,0.044444444444444446,0.2984253069717304,0.013263346976521352,1.9419289550025187,1.9419289550025187,Increases HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_HH_NO_INTERNET_havi,No Internet,SDOH,0.044444444444444446,-0.220267350258588,-0.0097896600114928,-1.4333353617002509,1.4333353617002509,Lowers HAVI
